input size: 100, average time: 0.001516
input size: 200, average time: 0.002944
input size: 300, average time: 0.003949
input size: 400, average time: 0.004534
input size: 500, average time: 0.005032
input size: 600, average time: 0.005757
input size: 700, average time: 0.006496
input size: 800, average time: 0.007727
input size: 900, average time: 0.008952
input size: 1000, average time: 0.009699
input size: 1100, average time: 0.010923
input size: 1200, average time: 0.012067
input size: 1300, average time: 0.013078
input size: 1400, average time: 0.014323
input size: 1500, average time: 0.015521
input size: 1600, average time: 0.016675
input size: 1700, average time: 0.017891
input size: 1800, average time: 0.018944
input size: 1900, average time: 0.019845
input size: 2000, average time: 0.021179
